urlid,label
5865,0.9415326395458845
782,0.28429517502365187
6962,0.49530116682434555
7640,0.04714601072216966
3589,0.5620939766635131
6719,0.5150110375275938
3905,0.4897508672343109
9841,0.9223273415326395
7447,0.18003784295175024
4776,0.362567013560391
2879,0.6270892462945443
2620,0.5848628192999055
10479,0.01860611794386629
1105,0.4302743614001892
1849,0.4050141911069063
8286,0.5701671397035635
8344,0.7858088930936613
10486,0.8239356669820246
8661,0.9246925260170293
7188,0.06319772942289499
1433,0.852822453484705
677,0.788331756543677
469,0.9345316934720909
6988,0.0946073793755913
8024,0.05392620624408704
6896,0.5069694102806686
9154,0.3834752444023967
342,0.7473982970671713
50,0.32667928098391674
983,0.082560706401766
6933,0.16452223273415326
8271,0.14474929044465468
5602,0.22103437401450646
4505,0.14585304320403658
4966,0.8977924944812361
2390,0.349448123620309
6736,0.5493535162409334
4660,0.7616840113528854
7560,0.860327972248502
3840,0.6154840744244717
5823,0.9327026174708293
5789,0.8988331756543677
1595,0.3103437401450646
6770,0.7845789971617787
3522,0.8634815515610218
5584,0.8038158309681487
8323,0.7291390728476821
3862,0.5705140334279407
373,0.312172816146326
7345,0.45011037527593817
7708,0.8291706086408074
1398,0.7724377168085776
4298,0.3899085461999369
7467,0.21576789656259854
1878,0.9110690633869442
1832,0.3675812046672974
625,0.24547461368653423
7438,0.2127719962157048
9961,0.8686218858404289
7117,0.08502049826553137
8190,0.21784925890886156
1713,0.7757805108798486
949,0.07975402081362347
9246,0.1316304005045727
2326,0.2880794701986755
8942,0.1085461999369284
4458,0.5955534531693473
4659,0.4178807947019868
9522,0.29703563544623146
2497,0.7146326080100914
9836,0.32125512456638283
3808,0.911668243456323
5575,0.761116367076632
5714,0.4614001892147588
2490,0.7682749921160517
6812,0.27114474929044463
4335,0.06140018921475875
10014,0.7572059287291075
5889,0.8081993062125512
482,0.7146641438032166
8082,0.23267108167770417
5856,0.9746767581204667
8866,0.5842636392305266
2624,0.9365184484389782
1371,0.6863450015767897
4436,0.0163040050457269
2972,0.8933144118574582
3638,0.8495111952065594
6249,0.5052034058656575
7602,0.1400819930621255
9624,0.9578366445916116
7567,0.4155786818038474
6578,0.22778303374329864
7590,0.6871333964049195
8590,0.7449385052034059
10520,0.9717439293598235
1906,0.3903185115105645
1373,0.3518763796909492
1601,0.9954903815830968
4754,0.18445285398927783
8208,0.32093976663513085
1658,0.8154210028382213
1352,0.923683380637023
8143,0.7130558183538316
7760,0.7118259224219489
7836,0.7303374329864396
9769,0.2120782087669505
503,0.7041311888994007
4909,0.24771365499842318
7162,0.3095868811100599
10035,0.6877325764742983
1992,0.608325449385052
6133,0.3437086092715232
8519,0.4837590665405235
1879,0.5096814884894355
7107,0.33818984547461367
1225,0.6714916430148219
2451,0.769284137496058
8252,0.11769157994323558
9214,0.6375275938189845
4850,0.9662882371491642
5891,0.061210974456007566
5274,0.4608325449385052
8623,0.08221381267738884
562,0.841438032166509
860,0.13308104698833176
4199,0.7836329233680226
7616,0.07950173446862188
10544,0.3978555660674866
1567,0.7684957426679281
6552,0.11122674235257016
954,0.07234310942920215
111,0.41113213497319456
7036,0.6769473352254809
1995,0.908325449385052
7095,0.3099022390413119
10180,0.5201513718070009
6872,0.9249763481551561
4805,0.9475559760327972
355,0.7114790286975716
8097,0.7551876379690949
9271,0.9125197098707032
431,0.41535793125197096
1646,0.6297067171239357
143,0.8874802901292967
3436,0.27467675812046677
150,0.6130242825607064
9745,0.2817723115736361
715,0.4910753705455692
578,0.28202459791863765
8684,0.8190791548407442
1186,0.8282245348470514
9115,0.6074739829706717
9239,0.23774834437086093
5461,0.6356039104383475
5424,0.6750867234310942
1349,0.9468306527909176
609,0.7576158940397351
7569,0.4423841059602649
1622,0.5746452223273415
6541,0.0923683380637023
9873,0.8941028066855882
